Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:37,2018-09-17 14:13:38,1.002s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:38,2018-09-17 14:13:38,0.003s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:38,2018-09-17 14:13:38,0.257s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:38,2018-09-17 14:13:38,0.086s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:38,2018-09-17 14:13:39,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:39,2018-09-17 14:13:40,0.071s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:40,2018-09-17 14:13:41,1.001s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:41,2018-09-17 14:13:41,0.080s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:41,2018-09-17 14:13:42,1.001s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:42,2018-09-17 14:13:42,0.306s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:42,2018-09-17 14:13:42,0.102s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:42,2018-09-17 14:13:42,0.367s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:42,2018-09-17 14:13:45,3.002s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:13:45,2018-09-17 14:13:45,0.001s,NOT_RUN
